95.0,51.0,115.0,16.0,43.0,1.0,0.0,41.0,107.0,198.0,324.0,239.0,270.0,305.0,540.0,196.0,318.0,367.0,167.0,123.0,299.0,272.0,114.0,161.0
112.0,89.0,78.0,33.0,5.0,32.0,0.0,33.0,41.0,34.0,85.0,273.0,352.0,441.0,545.0,338.0,122.0,182.0,128.0,284.0,464.0,624.0,293.0,108.0
318.0,138.0,100.0,19.0,0.0,10.0,95.0,131.0,739.0,314.0,412.0,93.0,324.0,114.0,237.0,285.0,278.0,163.0,116.0,261.0,310.0,340.0,280.0,140.0
88.0,80.0,72.0,12.0,0.0,0.0,69.0,78.0,469.0,278.0,483.0,311.0,221.0,169.0,180.0,226.0,383.0,180.0,270.0,186.0,185.0,336.0,232.0,184.0
207.0,61.0,54.0,41.0,0.0,16.0,67.0,79.0,436.0,322.0,188.0,346.0,266.0,592.0,75.0,179.0,354.0,206.0,156.0,76.0,177.0,392.0,322.0,257.0
209.0,32.0,40.0,2.0,20.0,0.0,71.0,86.0,153.0,223.0,190.0,239.0,370.0,109.0,354.0,201.0,219.0,118.0,312.0,109.0,303.0,295.0,286.0,213.0
96.0,188.0,81.0,0.0,6.0,6.0,72.0,50.0,523.0,233.0,273.0,166.0,234.0,347.0,250.0,193.0,177.0,227.0,337.0,229.0,126.0,474.0,396.0,272.0
120.0,63.0,71.0,2.0,27.0,0.0,1.0,0.0,52.0,100.0,209.0,231.0,494.0,421.0,400.0,388.0,176.0,421.0,112.0,376.0,343.0,241.0,113.0,42.0
101.0,57.0,55.0,22.0,11.0,0.0,12.0,21.0,120.0,64.0,164.0,388.0,447.0,718.0,139.0,493.0,358.0,370.0,253.0,298.0,289.0,302.0,71.0,142.0
112.0,161.0,156.0,43.0,6.0,18.0,0.0,22.0,673.0,596.0,265.0,250.0,242.0,241.0,238.0,229.0,247.0,192.0,52.0,273.0,395.0,330.0,245.0,131.0
128.0,166.0,34.0,7.0,15.0,0.0,64.0,29.0,491.0,295.0,202.0,141.0,225.0,283.0,148.0,191.0,338.0,168.0,160.0,144.0,203.0,164.0,395.0,186.0
286.0,159.0,32.0,24.0,9.0,0.0,78.0,37.0,462.0,372.0,307.0,457.0,153.0,98.0,183.0,199.0,122.0,82.0,138.0,101.0,324.0,258.0,347.0,319.0
119.0,254.0,22.0,0.0,15.0,1.0,60.0,42.0,557.0,652.0,308.0,116.0,311.0,180.0,155.0,164.0,265.0,220.0,124.0,305.0,271.0,213.0,297.0,256.0
195.0,214.0,32.0,41.0,0.0,2.0,102.0,62.0,360.0,204.0,353.0,533.0,288.0,242.0,161.0,125.0,197.0,127.0,299.0,271.0,229.0,264.0,399.0,486.0
279.0,67.0,203.0,117.0,29.0,37.0,0.0,51.0,227.0,41.0,105.0,364.0,800.0,381.0,360.0,179.0,300.0,187.0,113.0,330.0,426.0,304.0,98.0,101.0
